Restaurant,URL
十六區和風料理,"https://www.google.com/maps/place/%E5%8D%81%E5%85%AD%E5%8D%80%E5%92%8C%E9%A2%A8%E6%96%99%E7%90%86/@24.7972856,120.9967152,20.25z/data=!4m6!3m5!1s0x34683672d74f516b:0xf120d201a20f19c4!8m2!3d24.797274!4d120.9965588!16s%2Fg%2F1thf697m?entry=ttu"
Shi Tzi Beef Noodles,"https://www.google.com/maps/place/%E7%92%BD%E5%AD%90%E7%89%9B%E8%82%89%E9%BA%B5/@24.7971102,120.9847323,16.71z/data=!4m6!3m5!1s0x346835e05baa2671:0xb8398ae101d6085!8m2!3d24.7974231!4d120.985294!16s%2Fg%2F1tzvt8yq?entry=ttu"
漢神鐵板燒／新竹鐵板燒／新竹美食／新竹餐廳／新竹必吃／光復路必吃／光復路美食／光復路餐廳／園區美食／,"https://www.google.com/maps/place/%E6%BC%A2%E7%A5%9E%E9%90%B5%E6%9D%BF%E7%87%92%EF%BC%8F%E6%96%B0%E7%AB%B9%E9%90%B5%E6%9D%BF%E7%87%92%EF%BC%8F%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F%EF%BC%8F%E6%96%B0%E7%AB%B9%E9%A4%90%E5%BB%B3%EF%BC%8F%E6%96%B0%E7%AB%B9%E5%BF%85%E5%90%83%EF%BC%8F%E5%85%89%E5%BE%A9%E8%B7%AF%E5%BF%85%E5%90%83%EF%BC%8F%E5%85%89%E5%BE%A9%E8%B7%AF%E7%BE%8E%E9%A3%9F%EF%BC%8F%E5%85%89%E5%BE%A9%E8%B7%AF%E9%A4%90%E5%BB%B3%EF%BC%8F%E5%9C%92%E5%8D%80%E7%BE%8E%E9%A3%9F%EF%BC%8F/@24.7853734,121.0080478,17z/data=!3m1!4b1!4m6!3m5!1s0x3468363d7fc77055:0x6e320b7228f03882!8m2!3d24.7853686!4d121.0106227!16s%2Fg%2F1wk7nm3h?entry=ttu"
Subway,"https://www.google.com/maps/place/SUBWAY-%E6%96%B0%E7%AB%B9%E5%BB%BA%E6%96%B0%E5%BA%97/@24.7981216,120.9966855,19.6z/data=!3m1!5s0x34683672de61b849:0xd32941efe9d363da!4m6!3m5!1s0x346836195b67b18d:0x145e5e95b7419f03!8m2!3d24.7980189!4d120.9967047!16s%2Fg%2F1tf6dchv?entry=ttu"
中山道妻籠宿日式料理,"https://www.google.com/maps/place/%E4%B8%AD%E5%B1%B1%E9%81%93%E5%A6%BB%E7%B1%A0%E5%AE%BF%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/@24.8036618,120.9909689,17.27z/data=!4m6!3m5!1s0x34683676ced2e531:0x7a0bc7b57c45a6b1!8m2!3d24.8036711!4d120.9930499!16s%2Fg%2F1vd3sj9v?entry=ttu"
Shabu Shabu (hotpot),"https://www.google.com/maps/place/%E7%9F%B3%E9%A0%AD%E6%97%A5%E5%BC%8F%E7%87%92%E8%82%89/@24.8031655,120.9922204,19.25z/data=!4m6!3m5!1s0x34683676aea7161b:0x4648129b3995c629!8m2!3d24.8031499!4d120.9924663!16s%2Fg%2F1hc14k06j?entry=ttu"
黑白嗆 個人創意義大利美食,"https://www.google.com/maps/place/%E9%BB%91%E7%99%BD%E5%97%86+%E5%80%8B%E4%BA%BA%E5%89%B5%E6%84%8F%E7%BE%A9%E5%A4%A7%E5%88%A9%E7%BE%8E%E9%A3%9F/@24.7857702,121.0117707,17z/data=!3m1!4b1!4m6!3m5!1s0x3468363c40d4353f:0x3b80c21bd2351f17!8m2!3d24.7857654!4d121.0143456!16s%2Fg%2F1tfcqzk5?entry=ttu"
喜憨兒創作料理新竹建中店,"https://www.google.com/maps/place/%E5%96%9C%E6%86%A8%E5%85%92%E5%89%B5%E4%BD%9C%E6%96%99%E7%90%86%E6%96%B0%E7%AB%B9%E5%BB%BA%E4%B8%AD%E5%BA%97/@24.8014181,120.992327,17z/data=!3m1!4b1!4m6!3m5!1s0x34683673c1b550f7:0x63464829b37d7521!8m2!3d24.8014133!4d120.9949019!16s%2Fg%2F1tfpmfhv?entry=ttu"
開源社香雞排,"https://www.google.com/maps/place/%E9%96%8B%E6%BA%90%E7%A4%BE%E9%A6%99%E9%9B%9E%E6%8E%92/@24.7965346,120.9983235,19.69z/data=!3m1!5s0x34683672b511ca1d:0x792be82a9e971bba!4m6!3m5!1s0x34683672bac873a5:0x5a1e51a44002f643!8m2!3d24.7964963!4d120.9982901!16s%2Fg%2F1yh9vkcx0?entry=ttu"
明昌越式餐館,"https://www.google.com/maps/place/%E6%98%8E%E6%98%8C%E8%B6%8A%E5%BC%8F%E9%A4%90%E9%A4%A8/@24.7987493,120.9834453,17z/data=!3m1!4b1!4m6!3m5!1s0x346835e0747c9b53:0x4319f4d4360f5151!8m2!3d24.7987445!4d120.9860202!16s%2Fg%2F11b631pv18?entry=ttu"
忠孝極品炭燒羊肉爐,"https://www.google.com/maps/place/%E5%BF%A0%E5%AD%9D%E6%A5%B5%E5%93%81%E7%82%AD%E7%87%92%E7%BE%8A%E8%82%89%E7%88%90/@24.8045419,120.986388,16.46z/data=!4m6!3m5!1s0x3468367664239e8f:0xd0c4f76991e8220f!8m2!3d24.8044106!4d120.9901118!16s%2Fg%2F1tp1wkbg?entry=ttu"
Kingdom Hotel,"https://www.google.com/maps/place/%E9%87%91%E9%A0%93%E5%A4%A7%E9%A3%AF%E5%BA%97/@24.7820413,121.0185064,17z/data=!3m1!4b1!4m9!3m8!1s0x3468363a96c6882b:0x6be020f4bfe55971!5m2!4m1!1i2!8m2!3d24.7820365!4d121.0210813!16s%2Fg%2F1vgw6cwl?entry=ttu"
竹美私房料理 關新店,"https://www.google.com/maps/place/%E7%AB%B9%E7%BE%8E%E7%A7%81%E6%88%BF%E6%96%99%E7%90%86+%E9%97%9C%E6%96%B0%E5%BA%97/@24.7867783,121.0168822,17z/data=!3m1!4b1!4m6!3m5!1s0x346835ce6e56fb71:0xaec040ada7b9cad2!8m2!3d24.7867735!4d121.0194571!16s%2Fg%2F1th5xjrh?entry=ttu"
八分飽餐廳,"https://www.google.com/maps/search/%E5%85%AB%E5%88%86%E9%A3%BD%E9%A4%90%E5%BB%B3/@24.7868207,120.9988574,14z/data=!3m1!4b1?entry=ttu"
新竹杜老爹手工水餃專賣店,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E6%9D%9C%E8%80%81%E7%88%B9%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83%E5%B0%88%E8%B3%A3%E5%BA%97/@24.8007088,120.9916886,17z/data=!3m1!4b1!4m6!3m5!1s0x346836738ffa5455:0x5b0416f02fb7f3a6!8m2!3d24.800704!4d120.9942635!16s%2Fg%2F1thbtd9g?entry=ttu"
漁市大眾食堂(馬偕店),"https://www.google.com/maps/place/%E6%BC%81%E5%B8%82%E5%A4%A7%E7%9C%BE%E9%A3%9F%E5%A0%82(%E9%A6%AC%E5%81%95%E5%BA%97)/@24.7997325,120.9541994,14z/data=!3m1!5s0x346836751ea18693:0xbf5a36c6f861472c!4m10!1m2!2m1!1z5ryB5biC5aSn55y-6aOf5aCCKOmmrOWBleW6lyk!3m6!1s0x346836751c3cfb4b:0x47744ec06e3b998b!8m2!3d24.7997308!4d120.9902503!15sCh3mvIHluILlpKfnnL7po5_loIIo6aas5YGV5bqXKVojIiHmvIEg5biCIOWkp-ecviDpo5_loIIg6aasIOWBlSDlupeSARNqYXBhbmVzZV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YzNKcFNqRm5SUkFC4AEA!16s%2Fg%2F12hygrtyy?entry=ttu"
木易師傅壞饅頭,"https://www.google.com/maps/place/%E6%9C%A8%E6%98%93%E5%B8%AB%E5%82%85%E5%A3%9E%E9%A5%85%E9%A0%AD/@24.7845296,121.0123201,17z/data=!3m1!4b1!4m6!3m5!1s0x3468363c5f76edf9:0x69294ab01400b175!8m2!3d24.7845248!4d121.014895!16s%2Fg%2F1vspp7dj?entry=ttu"
McDonald's,"https://www.google.com/maps/place/%E9%BA%A5%E7%95%B6%E5%8B%9E-%E6%96%B0%E7%AB%B9%E6%B8%85%E5%A4%A7%E9%A4%90%E5%BB%B3/@24.7928038,120.9915302,17.83z/data=!4m6!3m5!1s0x34683674d2d89965:0x88a7d502e41a6a68!8m2!3d24.7929053!4d120.9931201!16s%2Fg%2F1q63cjcwm?entry=ttu"
明爐燒臘園,"https://www.google.com/maps/place/%E6%98%8E%E7%88%90%E7%87%92%E8%87%98%E5%9C%92/@24.7996839,120.9900339,20.23z/data=!3m1!5s0x346836751ea18693:0xbf5a36c6f861472c!4m6!3m5!1s0x346836751c111973:0x5f0df8f56e85ccf3!8m2!3d24.7997618!4d120.9901749!16s%2Fg%2F1trphyy1?entry=ttu"
Duan Chun Zhen,"https://www.google.com/maps/place/%E6%AE%B5%E7%B4%94%E8%B2%9E%E5%BB%BA%E5%8A%9F%E5%BA%97/@24.8023115,120.9923741,18.29z/data=!4m6!3m5!1s0x34683671561b906d:0x89d51fd0d5b254a2!8m2!3d24.8026457!4d120.9937853!16s%2Fg%2F1tx44s4c?entry=ttu"
柑仔店有機健康超市,"https://www.google.com/maps/place/%E6%9F%91%E4%BB%94%E5%BA%97%E6%9C%89%E6%A9%9F%E5%81%A5%E5%BA%B7%E8%B6%85%E5%B8%82/@24.7999176,120.8026246,11z/data=!3m1!5s0x34683674768719e5:0x8851a1d5c39804e6!4m10!1m2!2m1!1z5p-R5LuU5bqX5pyJ5qmf5YGl5bq36LaF5biC!3m6!1s0x3468367513ba57b7:0x18d4a79d40230538!8m2!3d24.7999176!4d120.9896231!15sChvmn5Hku5TlupfmnInmqZ_lgaXlurfotoXluIIiA4gBAVoiIiDmn5Eg5LuUIOW6lyDmnInmqZ8g5YGl5bq3IOi2heW4gpIBDW9yZ2FuaWNfc3RvcmXgAQA!16s%2Fg%2F1tjs_p0s?entry=ttu"
我的小館,"https://www.google.com/maps/place/%E6%88%91%E7%9A%84%E5%B0%8F%E9%A4%A8/@24.7961004,120.9970014,17z/data=!3m1!4b1!4m6!3m5!1s0x3468366d53ceda37:0x879e4020b45a4bcd!8m2!3d24.7960956!4d120.9995763!16s%2Fg%2F1tjwfh4x?entry=ttu"
十上食堂,"https://www.google.com/maps/place/%E5%8D%81%E4%B8%8A%E9%A3%9F%E5%A0%82/@24.7979242,120.9939334,17z/data=!3m1!4b1!4m6!3m5!1s0x34683672bab2a6eb:0xd22725096eb69fd8!8m2!3d24.7979194!4d120.9965083!16s%2Fg%2F1tlqmqq5?entry=ttu"
迎賓園快餐店,"https://www.google.com/maps/place/%E8%BF%8E%E8%B3%93%E5%9C%92%E5%BF%AB%E9%A4%90%E5%BA%97/@24.802391,120.9957006,17z/data=!3m1!4b1!4m6!3m5!1s0x3468367238f8af85:0x72b77ead5e3df7aa!8m2!3d24.8023862!4d120.9982755!16s%2Fg%2F1tfxdf0p?entry=ttu"
KFC,"https://www.google.com/maps/place/%E8%82%AF%E5%BE%B7%E5%9F%BA+%E6%96%B0%E7%AB%B9%E6%B8%85%E5%A4%A7%E9%A4%90%E5%BB%B3/@24.7958137,120.9984069,18.79z/data=!4m6!3m5!1s0x3468360d4e82f33b:0x8e2ded2ac3b63c71!8m2!3d24.7959381!4d120.9982565!16s%2Fg%2F11f3bsst3d?entry=ttu"
MOS BURGER Guanxin Shop,"https://www.google.com/maps/place/%E6%91%A9%E6%96%AF%E6%BC%A2%E5%A0%A1+%E6%96%B0%E7%AB%B9%E9%97%9C%E6%96%B0%E5%BA%97/@24.7786172,121.0048289,14.02z/data=!4m6!3m5!1s0x3468363bcfca703f:0xeda454bc36435165!8m2!3d24.7856831!4d121.0185408!16s%2Fg%2F1tg2hdsw?entry=ttu"
小方桌 (原 小餐桌) La Petite Table,"https://www.google.com/maps/place/%E5%B0%8F%E6%96%B9%E6%A1%8C+(%E5%8E%9F+%E5%B0%8F%E9%A4%90%E6%A1%8C)+La+Petite+Table/@24.7987699,120.9771631,15.1z/data=!4m6!3m5!1s0x346835dfebf2becf:0x7090bd07d89e5c43!8m2!3d24.7999975!4d120.9865118!16s%2Fg%2F11h08yj_p?entry=ttu"
清大雙囍餛飩 老虎麵,"https://www.google.com/maps/place/%E6%B8%85%E5%A4%A7%E9%9B%99%E5%9B%8D%E9%A4%9B%E9%A3%A9+%E8%80%81%E8%99%8E%E9%BA%B5/@24.7979588,120.9940281,17z/data=!3m1!4b1!4m6!3m5!1s0x34683672ddfdb0a7:0x3acabdba3ca062c2!8m2!3d24.797954!4d120.996603!16s%2Fg%2F1th473zd?entry=ttu"
Script Coffee,"https://www.google.com/maps/place/Script+Coffee/@24.8029825,120.9931215,17z/data=!3m1!4b1!4m6!3m5!1s0x3468366bf93708e9:0x188499c4da3145bd!8m2!3d24.8029777!4d120.9956964!16s%2Fg%2F12m90ghfn?entry=ttu"
Toscanini,"https://www.google.com/maps/place/%E6%89%98%E6%96%AF%E5%8D%A1%E5%B0%BC%E5%B0%BC%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3-%E7%AB%B9%E7%A7%91%E5%BA%97/@24.7824078,121.0034671,17z/data=!3m2!4b1!5s0x3468361994617125:0xcc9de3b37e951fb8!4m6!3m5!1s0x346836199962873f:0xd3fcbafc9ba81268!8m2!3d24.782403!4d121.006042!16s%2Fg%2F1ptzhzmnh?entry=ttu"
Mercuries Beef Noodle Restaurant,"https://www.google.com/maps/place/%E4%B8%89%E5%95%86%E5%B7%A7%E7%A6%8F+%E5%85%89%E5%BE%A9%E9%96%80%E5%B8%82/@24.795878,120.9976883,19z/data=!3m1!4b1!4m6!3m5!1s0x346835c1ea967e11:0xf286f424ce238589!8m2!3d24.7958768!4d120.998332!16s%2Fg%2F12hk4rszl?entry=ttu"
帝王食補 東光店,"https://www.google.com/maps/place/%E5%B8%9D%E7%8E%8B%E9%A3%9F%E8%A3%9C+%E6%9D%B1%E5%85%89%E5%BA%97/@24.8045435,120.9498379,13.48z/data=!4m6!3m5!1s0x346835d893e1c5af:0x1c00fba6cf38763c!8m2!3d24.8060183!4d120.9865884!16s%2Fg%2F1tj486st?entry=ttu"
肥仔龍無煙鐵板燒,"https://www.google.com/maps/place/%E8%82%A5%E4%BB%94%E9%BE%8D%E7%84%A1%E7%85%99%E9%90%B5%E6%9D%BF%E7%87%92/@24.7977124,120.9955695,17z/data=!3m1!4b1!4m6!3m5!1s0x346836729613fe5f:0x77928fa569652524!8m2!3d24.7977076!4d120.9981444!16s%2Fg%2F1pzsx9tj8?entry=ttu"
橄欖樹廚房,"https://www.google.com/maps/place/%E6%A9%84%E6%AC%96%E6%A8%B9%E5%BB%9A%E6%88%BF/@24.7937274,120.9991242,17z/data=!3m1!4b1!4m6!3m5!1s0x34683612e3bddd0b:0xb7b39fdc6f8b7b33!8m2!3d24.7937226!4d121.0016991!16s%2Fg%2F1tdk2xk_?entry=ttu"
金師父蔥燒包,"https://www.google.com/maps/place/%E9%87%91%E5%B8%AB%E7%88%B6%E8%94%A5%E7%87%92%E5%8C%85/@24.801632,121.0045848,12.19z/data=!4m6!3m5!1s0x3468363b0c40558f:0xe03861eac5bc225!8m2!3d24.7831818!4d121.018025!16s%2Fg%2F1ts2y07_?entry=ttu"
Savor Vegetarian Restaurant,"https://www.google.com/maps/place/%E6%A3%AE%E6%B4%BB%E5%8E%9F%E7%B4%A0+V-Element+%E8%94%AC%E9%A3%9F%E9%A4%90%E5%BB%B3/@24.803487,120.9713166,21z/data=!3m1!5s0x346835c21728514f:0xf4e2d9ec97237c9c!4m6!3m5!1s0x346835d972bd955f:0xaad96688bf6379ce!8m2!3d24.8034657!4d120.9714923!16s%2Fg%2F11rvd1sg6x?entry=ttu"
Yoshinoya,"https://www.google.com/maps/place/%E5%90%89%E9%87%8E%E5%AE%B6+%E6%96%B0%E7%AB%B9%E5%85%89%E5%BE%A9%E5%BA%97/@24.78655,121.0103943,21z/data=!4m6!3m5!1s0x346836162101f50f:0xc44d1dad9e1b8f40!8m2!3d24.7866723!4d121.0105615!16s%2Fg%2F1tgdl939?entry=ttu"
江之戶日式料理,"https://www.google.com/maps/place/%E6%B1%9F%E4%B9%8B%E6%88%B6%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/@24.7981925,120.9944436,17z/data=!3m1!4b1!4m6!3m5!1s0x34683672bfd5514d:0xfbec27f55f26d3e2!8m2!3d24.7981877!4d120.9970185!16s%2Fg%2F1tgjzcdk?entry=ttu"
新莊街六號,"https://www.google.com/maps/place/%E6%96%B0%E8%8E%8A%E8%A1%97%E5%85%AD%E8%99%9F/@24.7864798,121.0142251,17z/data=!3m1!4b1!4m6!3m5!1s0x3468363bfc5a3cbf:0xe10099530e6c1282!8m2!3d24.786475!4d121.0168!16s%2Fg%2F1tfpmfht?entry=ttu"
The Spice Shop Indian Cuisine,"https://www.google.com/maps/place/%E9%A6%99%E6%96%99%E5%B1%8B/@24.8013798,120.9880733,21z/data=!4m6!3m5!1s0x346835ea3c9387e7:0x199377a823b07074!8m2!3d24.801419!4d120.9881003!16s%2Fg%2F1tdxyn01?entry=ttu"
Napoli pizza（拿坡里）,"https://www.google.com/maps/place/%E6%8B%BF%E5%9D%A1%E9%87%8C%E6%8A%AB%E8%96%A9+%E5%85%89%E5%BE%A9%E5%BA%97/@24.7826628,121.0184783,21z/data=!4m6!3m5!1s0x3468363d98fa82f7:0xdc9cdfa546706b13!8m2!3d24.7827025!4d121.0186211!16s%2Fg%2F1tpppq2v?entry=ttu"
茉莉小鎮,"https://www.google.com/maps/place/%E8%8C%89%E8%8E%89%E5%B0%8F%E9%8E%AE/@24.7992183,120.9794075,17z/data=!3m1!4b1!4m6!3m5!1s0x346835e0b29b420b:0xe64254133332c3e1!8m2!3d24.7992135!4d120.9819824!16s%2Fg%2F1tdls00r?entry=ttu"
大中華粥麵館,"https://www.google.com/maps/place/%E5%A4%A7%E4%B8%AD%E8%8F%AF%E7%B2%A5%E9%BA%B5%E9%A4%A8/@24.8017845,120.9951513,19.42z/data=!4m6!3m5!1s0x34683673c1800621:0x14f5e21e90b85759!8m2!3d24.8019148!4d120.9951552!16s%2Fg%2F1tdrv1pf?entry=ttu"
新天地美食館,"https://www.google.com/maps/place/%E6%96%B0%E5%A4%A9%E5%9C%B0%E7%BE%8E%E9%A3%9F%E9%A4%A8/@24.7853699,121.0077384,17z/data=!3m1!4b1!4m6!3m5!1s0x34683617d48a5863:0x86ebd7a051452e92!8m2!3d24.7853651!4d121.0103133!16s%2Fg%2F1tdgmkw0?entry=ttu"
甘泉魚麵-清大店,"https://www.google.com/maps/place/%E7%94%98%E6%B3%89%E9%AD%9A%E9%BA%B5-%E6%B8%85%E5%A4%A7%E5%BA%97/@24.797594,120.9935464,17z/data=!3m1!4b1!4m6!3m5!1s0x34683673279249fd:0xa81a0b865238941a!8m2!3d24.7975892!4d120.9961213!16s%2Fg%2F1tcvl_wr?entry=ttu"
曾家公園乾麵,"https://www.google.com/maps/place/%E6%9B%BE%E5%AE%B6%E5%85%AC%E5%9C%92%E4%B9%BE%E9%BA%B5/@24.8026769,120.980031,20.79z/data=!4m6!3m5!1s0x346835ddb4140b69:0xdfab830cf3aced08!8m2!3d24.8027324!4d120.9801539!16s%2Fg%2F12hkfhb47?entry=ttu"
手工現做燒餅屋 （東山總店）,"https://www.google.com/maps/place/%E6%89%8B%E5%B7%A5%E7%8F%BE%E5%81%9A%E7%87%92%E9%A4%85%E5%B1%8B+%EF%BC%88%E6%9D%B1%E5%B1%B1%E7%B8%BD%E5%BA%97%EF%BC%89/@24.7966682,120.9770427,17z/data=!3m1!4b1!4m6!3m5!1s0x346835e6f26bf0e5:0x9a134bcedb36ce4d!8m2!3d24.7966634!4d120.9796176!16s%2Fg%2F12hm_xb_l?entry=ttu"
如意麵食館 牛肉麵,"https://www.google.com/maps/place/%E5%A6%82%E6%84%8F%E9%BA%B5%E9%A3%9F%E9%A4%A8+%E7%89%9B%E8%82%89%E9%BA%B5/@24.8007444,120.9860451,17z/data=!3m1!4b1!4m6!3m5!1s0x346835e05eb4914d:0xfd9c8ff9144e656!8m2!3d24.8007396!4d120.98862!16s%2Fg%2F1tfrdhky?entry=ttu"
海洋冰城/牛排,"https://www.google.com/maps/place/%E6%B5%B7%E6%B4%8B%E5%86%B0%E5%9F%8E%2F%E7%89%9B%E6%8E%92/@24.7968236,120.996743,17z/data=!3m2!4b1!5s0x3468361305071ff5:0x8ce2a42144b66585!4m6!3m5!1s0x3468366d59ccc193:0xc934026bf3b699!8m2!3d24.7968188!4d120.9993179!16s%2Fg%2F1tdvb9x2?entry=ttu"
蕭家鹽酥雞,"https://www.google.com/maps/place/%E8%95%AD%E5%AE%B6%E9%B9%BD%E9%85%A5%E9%9B%9E/@24.7997179,120.9797783,17z/data=!3m1!4b1!4m6!3m5!1s0x346835e0a9007ed1:0x343521e14af26a8c!8m2!3d24.7997131!4d120.9823532!16s%2Fg%2F11gzxthxz?entry=ttu"
Chuan-Jia Hakka Restaurant,"https://www.google.com/maps/place/%E5%82%B3%E5%AE%B6%E7%94%9F%E6%B4%BB%E5%B0%8F%E9%A4%A8/@24.7828624,121.0165364,17z/data=!3m1!4b1!4m6!3m5!1s0x3468363b02bcf17d:0x582bb20f83946d1e!8m2!3d24.7828576!4d121.0191113!16s%2Fg%2F1tdztg9h?entry=ttu"
太河拉麵,"https://www.google.com/maps/place/%E5%A4%AA%E6%B2%B3%E6%8B%89%E9%BA%B5/@24.8028109,120.9910161,17z/data=!3m1!4b1!4m6!3m5!1s0x346836715594908b:0x47975d3c47248d59!8m2!3d24.8028061!4d120.993591!16s%2Fg%2F12hrxd3kl?entry=ttu"
